Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
Legend-Balbas,1603658262505,3,107177,99470,321532,4.333333333333333,1,12,13,19,214,SUCCESS,321532,jtgfYrJATN-Lf8vragcesg,
Bertheid-JP-001,1603703393242,3,107765,105091,323295,2.6666666666666665,1,7,8,1,215,SUCCESS,323295,JnjCItUTRGyzaEY1AT8D5w,
LighteningMcqueen,1604081340750,3,107796,101389,323388,13.0,3,36,39,12,216,SUCCESS,323388,0L2DZC1-Rl277Etsj9Ty8g,
europatheuropeans,1604156487718,3,108209,106054,324628,4.666666666666667,2,11,14,1,217,SUCCESS,324628,oSrVrmRmRSGs9sCVGO1s5Q,
RLLearnerNRacer-2020,1604167878155,3,108916,95060,326750,4.666666666666667,1,13,14,6,218,SUCCESS,326750,GWPAoFv6RSmmd6MAPRHgRw,
Raul,1602866112753,3,109339,89319,328019,5.0,1,14,15,3,219,SUCCESS,328019,fl6jM0RwSIi4pXNI3HMDZQ,
DRE-2020SpCat,1603464050155,3,109376,98805,328130,5.0,2,13,15,1,220,SUCCESS,328130,7CwqJfazT6CAAbE-E6yL6g,
RaceyBoy,1604179892372,3,109754,90029,329262,9.333333333333334,1,27,28,2,221,SUCCESS,329262,NwDu1xy7TEO8WHauhDhhiA,
ezgg2020,1604046083643,3,109871,77316,329615,13.333333333333334,1,39,40,15,222,SUCCESS,329615,ZtJ1r1g1TAa7z268In3KPQ,
TheFlash,1602787796431,3,110080,105934,330242,10.666666666666666,0,32,32,5,223,SUCCESS,330242,HlKqgNvFSZK96wBx9FQLLQ,
DesmoMike,1603287521498,3,110818,97405,332454,5.0,2,13,15,4,224,SUCCESS,332454,B68iFDyTSs-PZ75VEdteDw,
Coconas,1603484551206,3,110840,105261,332522,3.3333333333333335,0,10,10,1,225,SUCCESS,332522,SswZqPFcRQqDYxZWHV0JCg,
SupergirlHarshu,1603969749214,3,110853,91776,332559,14.333333333333334,3,40,43,5,226,SUCCESS,332559,ulBGHS1NToypUxUhd_Njig,
