Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
FlyingDragon,1567978770051,69846,1167,SUCCESS,69846
radek-model1-imitial-it1,1568625162879,69938,1168,SUCCESS,69938
iRover,1567472883355,70162,1169,SUCCESS,70162
richardrivers,1567361460388,70435,1170,SUCCESS,70435
thunderbird,1568274233139,70708,1171,SUCCESS,70708
sw-FreeAgent,1569401721212,70718,1172,SUCCESS,70718
elracer12235,1567296067390,70934,1173,SUCCESS,70934
Yepster,1568885913756,71204,1174,SUCCESS,71204
hiromasat,1569726638965,71254,1175,SUCCESS,71254
sobrana,1567775983278,71447,1176,SUCCESS,71447
Geedhey,1568111175004,71489,1177,SUCCESS,71489
JoaquinMoreno,1568300542287,71717,1178,SUCCESS,71717
aaronhma,1567901835350,71775,1179,SUCCESS,71775
LorenX,1569851436453,71825,1180,SUCCESS,71825
ygbtrial,1567780757265,71852,1181,SUCCESS,71852
loloso-shanghai,1568062866644,71902,1182,SUCCESS,71902
adebayoyeleye,1567379021931,72092,1183,SUCCESS,72092
Abhiek187-GottaGoFast,1569367869402,72156,1184,SUCCESS,72156
LukasCar,1569328738056,72206,1185,SUCCESS,72206
LeagueRacerWin,1569583216702,72293,1186,SUCCESS,72293
Bharateshwar,1569604591297,72387,1187,SUCCESS,72387
Limitbreaker,1568183064279,72400,1188,SUCCESS,72400
Vinamra,1568022975828,72451,1189,SUCCESS,72451
GakuT,1567314812311,72541,1190,SUCCESS,72541
THK,1568949469065,72599,1191,SUCCESS,72599
kusumarace,1568712599824,72644,1192,SUCCESS,72644
HespeRacer,1567385551143,72721,1193,SUCCESS,72721
Deepracer-219,1568186660705,72764,1194,SUCCESS,72764
FAWAZEEZ,1568875785259,72817,1195,SUCCESS,72817
Seminoob,1569406580403,72907,1196,SUCCESS,72907
antigravity,1567407074282,73544,1197,SUCCESS,73544
QUE-COM-Autonomous,1569430577763,73696,1198,SUCCESS,73696
akash2016,1567356721252,73732,1199,SUCCESS,73732
third-eye,1567852607867,73751,1200,SUCCESS,73751
MauveAvenger,1569714142150,73916,1201,SUCCESS,73916
ASGo,1569720467848,74035,1202,SUCCESS,74035
rajeshradhakrishnan,1567565522273,74274,1203,SUCCESS,74274
Tester,1568571861483,74377,1204,SUCCESS,74377
suule,1568812001041,74466,1205,SUCCESS,74466
SpocksBrain,1567339723146,74530,1206,SUCCESS,74530
DontThinkAndDrive,1568014947490,74546,1207,SUCCESS,74546
VG-DeepracerModel01,1569304679581,74677,1208,SUCCESS,74677
DeepLeague,1569387560445,74722,1209,SUCCESS,74722
