Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
w-takahashi,1560667251293,62554,341,SUCCESS,62554
R1,1560316343802,62557,342,SUCCESS,62557
iceman-Cisco-GIS,1561589501644,62570,343,SUCCESS,62570
One,1561525825285,62573,344,SUCCESS,62573
kj,1561014535816,62587,345,SUCCESS,62587
Rover-oNe,1561740088615,62591,346,SUCCESS,62591
FilipeMoises,1560981914223,62594,347,SUCCESS,62594
AWSsummit2019-ekusoy,1560346783164,62610,348,SUCCESS,62610
GICTA-ONE,1560284765876,62614,349,SUCCESS,62614
haruzou,1560408777548,62614,350,SUCCESS,62614
Oliver-And-Elliot,1560298840478,62629,351,SUCCESS,62629
RKO,1561546098048,62633,352,SUCCESS,62633
Toothless,1561243736590,62671,353,SUCCESS,62671
rinkevich,1561387123959,62675,354,SUCCESS,62675
takashiK,1560467623173,62689,355,SUCCESS,62689
rch850,1560467132539,62698,356,SUCCESS,62698
UniversalEnergy,1561594098668,62704,357,SUCCESS,62704
KyleCPicha,1560179854587,62705,358,SUCCESS,62705
ShinyaFuruwata,1560495049619,62716,359,SUCCESS,62716
nnlab,1560361775914,62737,360,SUCCESS,62737
Mike1337,1561280501491,62742,361,SUCCESS,62742
MariusHab,1560595588051,62750,362,SUCCESS,62750
aaa,1561535019954,62770,363,SUCCESS,62770
andrewman,1561530133844,62775,364,SUCCESS,62775
SuperDR,1561749378533,62786,365,SUCCESS,62786
Taiwan-Hsiung,1560695367759,62788,366,SUCCESS,62788
xnovax,1560652952897,62790,367,SUCCESS,62790
dechiktorren,1561119145121,62790,368,SUCCESS,62790
KhHnm,1560759618797,62790,369,SUCCESS,62790
j-un,1560553403001,62796,370,SUCCESS,62796
TrialRun,1560326276236,62797,371,SUCCESS,62797
kawataku,1560483917597,62802,372,SUCCESS,62802
yoshio-v2,1561455536705,62808,373,SUCCESS,62808
Masa,1561521757208,62821,374,SUCCESS,62821
Dubyahjay,1560359884121,62827,375,SUCCESS,62827
fivehorizons,1561690873531,62837,376,SUCCESS,62837
shasha,1560158251480,62840,377,SUCCESS,62840
DanRL,1561939129803,62844,378,SUCCESS,62844
nri-arai,1560416682578,62848,379,SUCCESS,62848
sk-psl-deepracer,1561554976331,62849,380,SUCCESS,62849
Puguita,1560172575578,62861,381,SUCCESS,62861
CBA,1561016411145,62881,382,SUCCESS,62881
Dejavu,1560351700338,62889,383,SUCCESS,62889
AWSsummit2019,1560324119560,62892,384,SUCCESS,62892
HON-AZ-Gerchak-01,1560271940166,62901,385,SUCCESS,62901
SuperchargeBigmind,1560822184847,62902,386,SUCCESS,62902
RB,1560824958080,62915,387,SUCCESS,62915
Adi,1561805966852,62916,388,SUCCESS,62916
Vocento-datathon,1561641457054,62917,389,SUCCESS,62917
AbeFroman,1561599211067,62941,390,SUCCESS,62941
yasuki-SCSK,1560335573821,62946,391,SUCCESS,62946
DBro,1560376259057,62946,392,SUCCESS,62946
qattsu,1560348611911,62949,393,SUCCESS,62949
HenryHogs,1560928650643,62954,394,SUCCESS,62954
DeepIMED,1560871928384,62955,395,SUCCESS,62955
Tailwind,1561344371953,62958,396,SUCCESS,62958
Dazey,1561306659052,62958,397,SUCCESS,62958
demo1,1560349589216,62968,398,SUCCESS,62968
sambaiz,1560076311904,62969,399,SUCCESS,62969
F-Zero,1561365979560,62973,400,SUCCESS,62973
