Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
AJPeters1974,1574196201728,43590,650,SUCCESS,43590,06f2c9e47e6c4c2d8ebeecbc25cb9ec4
stubbs,1573847044382,43790,651,SUCCESS,43790,8df26d78248d4ca19d921536067c430f
SubhanSultan,1573226034953,44402,652,SUCCESS,44402,214432de076c4b569d33f958dc637443
ff9991,1573988034762,44494,653,SUCCESS,44494,885701fe20394b2d91e79fb636726a12
DRAnastasia,1574858340630,45529,654,SUCCESS,45529,b51e8f68b96e4e5db7a47b65f9cdc615
scottsfirstmodel,1574385036925,45559,655,SUCCESS,45559,90f6898176614ec8b5b88b372552059e
DitchDigger,1573787012309,47884,656,SUCCESS,47884,5bca645ed4784e39aff065a7d94356e9
MattJ,1573122971878,47911,657,SUCCESS,47911,bHFBErChTV6Ccdm-mECNNg
bdc,1574655538616,48668,658,SUCCESS,48668,e2e9b0473606470d9bfa46c72317652e
ian-racer-1,1574112325446,48884,659,SUCCESS,48884,6f50377bc78341a68d813ff521304e4e
CrisTEst,1573771117233,49225,660,SUCCESS,49225,e51d142ba6274516b6a6660fe65b3797
Voxolous,1573711791883,51389,661,SUCCESS,51389,d1bb25fbbe484ecebd5453e9a08c5d88
BekeonFirstTry,1574884421429,51644,662,SUCCESS,51644,dc5c775dff01434e959937e2b93cc0c2
run1a,1573027786704,52501,663,SUCCESS,52501,ba7705d85b5e4d73a79b48730d44fe62
hishida-first,1574135944383,53177,664,SUCCESS,53177,28bf4687733a4472b5dc633398b50896
goesamee,1573597837587,53609,665,SUCCESS,53609,20e806ac73f54104b6277dc66e49577b
uiooo,1574070782616,55257,666,SUCCESS,55257,3c82174f6ea24b4788777993a15a22b4
aka619ASH-car,1572933050558,55421,667,SUCCESS,55421,62ff0c8454014070acf11eb2b9106302
AutoAuto,1574796418960,55436,668,SUCCESS,55436,2521539b8e734384b08a15417bb7bd72
cycorld,1573396669225,55740,669,SUCCESS,55740,98a6fc2007044c058b4b654fd237d56d
myLeague,1573569194901,56015,670,SUCCESS,56015,5cf5c0c57d554323ad99ed899b7c5ac8
TeamCognizant,1574954972084,57324,671,SUCCESS,57324,de7abf3ca8ae4fb79fecfd18564960fe
