Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
tnk,1556072200482,29195,115,SUCCESS,29195,ede9ab8dcefd442c887fc29a110b8a99
advanced-example-3,1555527144668,29406,116,SUCCESS,29406,f140f2b6e6da47cc9ae516005fdaf345
D-racer,1556513531658,29423,117,SUCCESS,29423,KCHZxtbaRjC3qAuQ6UFf4g
matt,1555522573611,29434,118,SUCCESS,29434,e07621e53b1e4a59a1254c52a3d18073
BramVandewalle,1555530780945,29986,119,SUCCESS,29986,9e43abc1c17046b29a81a279b76bfd61
GJP-2wheels,1555707567480,29999,120,SUCCESS,29999,LUQW6XxaQymLchY8_vc0tg
averdow,1556210490795,31149,121,SUCCESS,31149,e6b63104802f4cbeb206e6ae3bd0fecf
rfhall,1555641104714,32264,122,SUCCESS,32264,668abbeb2bb04aa7bad6a5c8bff4b88a
boz,1556513744515,33866,123,SUCCESS,33866,8a63840df0d64ed9811a28dc40370264
neowo86,1555669614491,33873,124,SUCCESS,33873,1677a2e5ace04c17a24e837a06a7dfab
houracer,1555987302240,33972,125,SUCCESS,33972,c09ac9e205e6405ea99a4bb9c1a0cd3b
suneric,1555606215339,37663,126,SUCCESS,37663,bce759342bc14d5c8fda6231351129c7
donationk,1555663002648,39981,127,SUCCESS,39981,93955a5f6e9f499da4d2762e290ff16c
EC-Racer,1555608937745,40063,128,SUCCESS,40063,12ea8a76f03b4c0494c666ca067f84f8
rothr,1556469876509,40197,129,SUCCESS,40197,ab23465018d74ffeb0137185e8ea148d
Andaley,1556219222458,40431,130,SUCCESS,40431,0ad1ce0a71bd492d86038829632c27a5
alanmur,1555612201065,40514,131,SUCCESS,40514,78db3c3bb3a141759f5ee7fcea71dd22
jeffbarr,1556375467019,41317,132,SUCCESS,41317,62f0a59231814033bed54128627ce108
canary,1556231070300,42448,133,SUCCESS,42448,LLcCQI42QVGeCZtaI-gwUw
BrianKim,1555569304588,46890,134,SUCCESS,46890,826c778118834115b28553305da1e305
joodi,1555851717529,68587,135,SUCCESS,68587,f82320ff143e4e6882ee269ad46c1f24
YeppaH,1556235600336,69487,136,SUCCESS,69487,fb15c91f63284ea7b7663dc01f55877a
Mark,1556455609191,72215,137,SUCCESS,72215,ae1ddf44558345fe892fdf5c97c45adc
Wildboar,1556188428197,77260,138,SUCCESS,77260,2a17f91afa0d4edabe80c3be5771bde0
Racy-McRaceface,1555590013203,78563,139,SUCCESS,78563,7efcfcacb3f847cc8e40d7a725ffa42b
aaronhma,1556153229340,80813,140,SUCCESS,80813,1972a7290fe24e62b6ff2c5b815aeb14
btown,1556078984955,83911,141,SUCCESS,83911,UCkleM2KR_6mIo5V90S9WA
tg,1555576913542,84501,142,SUCCESS,84501,fe2463d3520640d1b088d08ce4db6c76
racermat,1555960317673,85678,143,SUCCESS,85678,4dccea72c3e1494a874816e68b89973e
DragonBallZX1,1556216637167,85710,144,SUCCESS,85710,149f9f067b894667af4187a39e4c06ed
drknrg,1556311474817,86911,145,SUCCESS,86911,819f67d10c714a15bd2fddcbf68b9fd2
deepracer,1555738195217,88284,146,SUCCESS,88284,d4593b36ca7f4e748b792b003ffe8ed0
zerone,1555573028403,88777,147,SUCCESS,88777,c8d045137f6741cda1374ca6028c7243
DJB,1555760686607,89554,148,SUCCESS,89554,773e992b89b34412a3fd59387c0120c5
RoboCar-Driver,1555594188964,90285,149,SUCCESS,90285,716b85862daa40298bcbcf49a53ac4b4
Turtle-racer,1556072174821,90462,150,SUCCESS,90462,fee9c1a169864c7e862454c5b158b79b
prmodku,1555747799752,92491,151,SUCCESS,92491,26ca190d858f4347b5d81f7d22f9e9a8
D1,1556134136939,92991,152,SUCCESS,92991,91275d495bb04d6b9f93fd1879549ee7
ryan0583,1556370367052,93012,153,SUCCESS,93012,9b77840fe7004d2393f92c9ca7058472
Robot-De-Niro,1556371211103,93437,154,SUCCESS,93437,024b7bf1dbdd48b9a6bf121c46888e67
Menahem,1556113480494,93860,155,SUCCESS,93860,38314a10f9284f8cbe2c5c18d62fe853
Not-The-Stig,1556508543178,94407,156,SUCCESS,94407,e29dfd278e9b4347bbba5b7e213dc3bc
taehoonko,1555562538357,95062,157,SUCCESS,95062,773077dc658042a5bd9ca8588c337e60
Gaylou,1556484713954,95856,158,SUCCESS,95856,189590f986ab4958985268c717acbf15
Uhitz,1556532928560,96529,159,SUCCESS,96529,b292947d4ad64532af802ac5affb2c03
ScottMv,1556501861481,97069,160,SUCCESS,97069,c5eb5c248fc84155b395cbaecfbb9d5e
