Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
JackMorton,1601411772642,3,11186,10002,33559,0.0,0,0,0,29,66,SUCCESS,33559,kbiMjAuTRrmThPl41N9Zbg,
yokeboy,1601274284269,3,11287,10932,33861,0.0,0,0,0,6,67,SUCCESS,33861,HmPblyPSQYOESPt3ZDrU_A,
TienHoang-DBS,1601033803778,3,11310,10860,33931,0.0,0,0,0,169,68,SUCCESS,33931,6IwkeVP_SV-fxpC-59lOog,
TheProfessor,1601239487534,3,11349,10343,34047,0.3333333333333333,0,1,1,28,69,SUCCESS,34047,yHCIABcvS0iHRlNPrFgW9Q,
hinata-shoyo,1601493312242,3,11382,10939,34146,0.3333333333333333,0,1,1,37,70,SUCCESS,34146,eqkWUl6ERdCXxz71fBNn2A,
jellyTunaSalad,1600536171517,3,11399,10330,34197,0.3333333333333333,0,1,1,1,71,SUCCESS,34197,33zbxlcBTXGgmTY-iLL9rg,
frankD,1601150063724,3,11495,11134,34487,0.0,0,0,0,33,72,SUCCESS,34487,xhI55wUrQRupnx0oe1jr7A,
venky-c,1601113696119,3,11522,10225,34566,0.3333333333333333,0,1,1,70,73,SUCCESS,34566,FV392lL5QAemJyX-uZsT-A,
ven-cher,1601128353625,3,11540,9600,34622,0.3333333333333333,0,1,1,62,74,SUCCESS,34622,CfHQxzwWSq-ePRksDWA3Qg,
v-ch,1601119897146,3,11591,11339,34773,0.0,0,0,0,67,75,SUCCESS,34773,pHHifqYPQ7uoOL7XLRKx-Q,
Cronyx,1601191943275,3,11613,11184,34840,0.0,0,0,0,3,76,SUCCESS,34840,fMddYTlKTH27XHFr-OmYSw,
WaveLabCup-test,1600706670921,3,11747,10474,35242,0.0,0,0,0,1388,77,SUCCESS,35242,VoDpVnVvR6CwWViNtPYWXA,
kimwooglae,1600941606400,3,11795,11264,35385,0.0,0,0,0,6388,78,SUCCESS,35385,bOqKo-ebR_essdUaZVGO4Q,
Qiyu-DBS,1601506574363,3,12104,11333,36312,0.0,0,0,0,27,79,SUCCESS,36312,3XXll_UWTbSG766-qEet6g,
think,1600420085813,3,12236,11390,36708,0.0,0,0,0,6138,80,SUCCESS,36708,IHHC4YftQLaMAs0VyXFJzw,
2nd,1601261892637,3,12238,11810,36716,0.0,0,0,0,1,81,SUCCESS,36716,wxGTEIt_RgCxzk8bnLBtfg,
RaviAhlawat,1601266561341,3,12289,10851,36869,0.3333333333333333,0,1,1,45,82,SUCCESS,36869,KJM5QPMaTZazg6dAMNWV0A,
SpeedRizzle2,1599760744472,3,12306,10398,36918,1.0,0,3,3,32,83,SUCCESS,36918,kiYAu0XHTua0Lt3alIrZqA,
piano,1601249784456,3,12356,11812,37070,0.0,0,0,0,5958,84,SUCCESS,37070,UlhPeJD_R1mP1YVlotOxSA,
mayurmadnani,1599703951210,3,12362,9939,37088,0.6666666666666666,0,2,2,227,85,SUCCESS,37088,hr8K12KMRhSIDUEJbQT8fg,
DragonCrew-DBS,1601045267574,3,12375,11702,37126,0.0,0,0,0,13,86,SUCCESS,37126,2OyLrQVWRD6AI4AGcJPD0g,
Claret,1601025894217,3,12396,11888,37188,0.0,0,0,0,45,87,SUCCESS,37188,Iry8IexIQUWTyLW8zn0SlQ,
m-hosokawa-nes,1600051598028,3,12434,12382,37302,0.0,0,0,0,3,88,SUCCESS,37302,X-M2s3pcRlWb653f9qu09A,
TrevorC,1601388299842,3,12483,10009,37451,1.0,0,3,3,3,89,SUCCESS,37451,IaMBQZOlQLa20Tju9j24BQ,
Venkatesh,1601090197071,3,12543,12108,37629,0.0,0,0,0,423,90,SUCCESS,37629,MtYzlWySQCmhHcxvupeAqg,
Usin,1600248195596,3,12585,10805,37755,0.6666666666666666,0,2,2,81,91,SUCCESS,37755,0U0AhasoQkySiJ1to8xBZw,
