Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
The-Best-Racer,1590954144183,3,94293,81706,282879,3.0,0,9,9,2,445,SUCCESS,282879
IVaibhavMalpani,1588301737835,3,94417,82310,283251,9.333333333333334,0,28,28,2,446,SUCCESS,283251
Chicago-2-StanMan,1589753372138,3,94460,89716,283381,3.0,0,9,9,16,447,SUCCESS,283381
DnARacers,1589404481983,3,94549,92153,283649,10.333333333333334,0,31,31,2,448,SUCCESS,283649
ZigZag,1590320222448,3,94606,90973,283818,5.666666666666667,0,17,17,24,449,SUCCESS,283818
himsid,1590129339260,3,94642,84122,283926,6.666666666666667,0,20,20,8,450,SUCCESS,283926
chenbinkg,1589021998775,3,94698,90529,284094,1.6666666666666667,0,5,5,5,451,SUCCESS,284094
pushpakViman,1590570357302,3,94777,92240,284333,0.6666666666666666,0,2,2,4,452,SUCCESS,284333
fan-of-Ricciardo,1589980789896,3,94799,88548,284397,1.0,0,3,3,1,453,SUCCESS,284397
Kepler16,1589762558306,3,94804,93298,284413,1.0,0,3,3,1,454,SUCCESS,284413
Illuminatian,1589421398495,3,94848,93223,284545,1.3333333333333333,0,4,4,4,455,SUCCESS,284545
karivardhan,1589355693687,3,94896,92790,284688,1.6666666666666667,0,5,5,3,456,SUCCESS,284688
harryfrie1,1589836750335,3,94933,87962,284801,1.3333333333333333,0,4,4,1,457,SUCCESS,284801
kk,1589891946526,3,94976,91162,284929,2.0,0,6,6,13,458,SUCCESS,284929
ti3898,1588595681363,3,94977,93647,284933,0.0,0,0,0,3,459,SUCCESS,284933
superTestone,1588863846007,3,95092,93207,285277,8.333333333333334,0,25,25,15,460,SUCCESS,285277
reddy,1589985417441,3,95111,81491,285334,2.6666666666666665,0,8,8,6,461,SUCCESS,285334
ZaynRacer,1590766405514,3,95134,92547,285403,0.3333333333333333,0,1,1,4,462,SUCCESS,285403
lukTheRacer,1590754335593,3,95160,91959,285481,1.3333333333333333,0,4,4,6,463,SUCCESS,285481
Honeybadger,1590524784478,3,95202,87268,285607,2.6666666666666665,0,8,8,2,464,SUCCESS,285607
bdml38,1588366253930,3,95227,90520,285683,1.6666666666666667,0,5,5,2,465,SUCCESS,285683
VMoney,1589823597905,3,95261,91319,285783,0.6666666666666666,0,2,2,1,466,SUCCESS,285783
RawlsRoyce,1589316239956,3,95368,92521,286106,0.3333333333333333,0,1,1,6,467,SUCCESS,286106
splendidchip,1590090749841,3,95453,92274,286360,0.3333333333333333,0,1,1,2,468,SUCCESS,286360
Pablo,1589923713452,3,95519,89185,286559,0.6666666666666666,0,2,2,2,469,SUCCESS,286559
Groovy-DNPds,1590654076628,3,95643,86386,286929,10.333333333333334,0,31,31,1,470,SUCCESS,286929
umi,1590960792438,3,95771,89345,287315,3.3333333333333335,0,10,10,1,471,SUCCESS,287315
Krotiuz,1589281202936,3,95839,89659,287517,1.0,0,3,3,6,472,SUCCESS,287517
NewSpeed,1590754796534,3,95865,87599,287597,10.333333333333334,0,31,31,3,473,SUCCESS,287597
ratracing,1589678277036,3,95947,89570,287841,0.6666666666666666,0,2,2,5,474,SUCCESS,287841
RacerDMG,1590792207770,3,96038,89160,288114,1.0,0,3,3,1,475,SUCCESS,288114
Macedonia,1589045895064,3,96075,89568,288227,7.0,0,21,21,6,476,SUCCESS,288227
tokano,1590025033821,3,96077,90651,288231,1.0,0,3,3,8,477,SUCCESS,288231
Test1-2,1590113728423,3,96105,89335,288316,8.0,0,24,24,2,478,SUCCESS,288316
gt1485a,1589237500409,3,96300,88424,288900,2.0,0,6,6,4,479,SUCCESS,288900
BrightStar,1588945255053,3,96323,93421,288969,0.3333333333333333,0,1,1,2,480,SUCCESS,288969
bespaleuni,1590344599483,3,96338,95274,289015,0.0,0,0,0,4,481,SUCCESS,289015
PMoney,1589993102378,3,96378,94253,289136,3.0,0,9,9,2,482,SUCCESS,289136
WildRacer,1590664761061,3,96615,93338,289846,0.3333333333333333,0,1,1,1,483,SUCCESS,289846
cesarve,1588892039926,3,96685,88885,290056,2.3333333333333335,0,7,7,1,484,SUCCESS,290056
MaySpy,1590581155086,3,96700,90392,290102,0.6666666666666666,0,2,2,1,485,SUCCESS,290102
Nova1,1590451246318,3,96707,95921,290122,0.0,0,0,0,12,486,SUCCESS,290122
SSENSE-MadMax-F1,1589978346102,3,96775,90097,290325,1.3333333333333333,0,4,4,5,487,SUCCESS,290325
atnmn,1590137082281,3,96853,90090,290559,7.333333333333333,0,22,22,44,488,SUCCESS,290559
YugoRacing,1589164515056,3,97100,87682,291302,1.3333333333333333,0,4,4,4,489,SUCCESS,291302
mags,1590219401151,3,97107,88552,291323,1.6666666666666667,0,5,5,9,490,SUCCESS,291323
babyg,1590790724932,3,97139,95122,291417,1.6666666666666667,0,5,5,4,491,SUCCESS,291417
jay009,1588713380243,3,97185,86800,291555,1.6666666666666667,0,5,5,1,492,SUCCESS,291555
Irrational-Agency,1590408583876,3,97213,94964,291639,0.3333333333333333,0,1,1,1,493,SUCCESS,291639
NicolasCofre,1588458297612,3,97214,90693,291644,1.0,0,3,3,1,494,SUCCESS,291644
bdml-38,1588456693492,3,97227,93016,291683,0.3333333333333333,0,1,1,9,495,SUCCESS,291683
Dallas-2-SunRisRs,1589590450989,3,97233,92409,291701,0.6666666666666666,0,2,2,10,496,SUCCESS,291701
RustyHubCap,1590089780112,3,97314,95643,291942,0.0,0,0,0,4,497,SUCCESS,291942
BaldeBoyRacer,1590252597254,3,97357,93956,292072,3.0,0,9,9,1,498,SUCCESS,292072
mssalvadk,1589019227025,3,97419,72499,292257,7.333333333333333,0,22,22,6,499,SUCCESS,292257
Zengine,1588402504521,3,97428,92165,292286,0.6666666666666666,0,2,2,2,500,SUCCESS,292286
NotDrunk,1590251531805,3,97481,95781,292444,0.0,0,0,0,2,501,SUCCESS,292444
