Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
LTB-Astro,1601285831273,3,84953,81735,254861,15.0,0,45,45,1,410,SUCCESS,254861,dvHIYEaYTLWsQa0oxuqlrA,
quyet4v,1600306082806,3,85017,84231,255053,0.3333333333333333,0,1,1,2,411,SUCCESS,255053,776cgJsDQqWxE5IXf2QjQw,
LachlanFirstModel-reInvent18Track,1599055772324,3,85028,84246,255086,1.3333333333333333,0,4,4,2,412,SUCCESS,255086,0viDB3EoTXWtfixy9q_71Q,
AlexArh,1601415166290,3,85224,84191,255674,0.3333333333333333,0,1,1,2,413,SUCCESS,255674,9WOnFKM-T1C29731Qpmm7g,
Teo,1600146243111,3,85426,80867,256278,2.6666666666666665,0,8,8,2,414,SUCCESS,256278,6VmhNyXaRi6Yz2E-zxidng,
agileup,1600257146208,3,85442,81284,256328,2.6666666666666665,0,8,8,1,415,SUCCESS,256328,aDhIYFbERnS_WXn2EjM-oQ,
MyFirstLeague,1600867157970,3,85546,84370,256639,0.0,0,0,0,1,416,SUCCESS,256639,HhlWorJ2TVu_W_G04vFKaQ,
Tony-IVECloud,1599805944280,3,85601,85471,256803,20.0,0,60,60,2,417,SUCCESS,256803,yMzv0Fg3RHGSixBdnA0rKA,
GGMU,1599772999754,3,85645,82138,256937,5.333333333333333,0,16,16,2,418,SUCCESS,256937,oAa5-N1MR767Ot1b7MrH1A,
AvengerRacer,1599641667232,3,85700,82804,257102,3.0,0,9,9,1,419,SUCCESS,257102,a-H_ywFJQFOAU7SexzyWfA,
mymodel,1599304870488,3,85783,85375,257349,1.3333333333333333,0,4,4,3,420,SUCCESS,257349,uBCczrUNQIKZS6d3E54ISw,
mo-spinningincircles,1599151097897,3,85793,77014,257380,4.333333333333333,0,13,13,2,421,SUCCESS,257380,2VbjkWsySAC81WtNzs_ClA,
JoseFranciscoPena,1600969415155,3,85884,82003,257654,20.666666666666668,0,62,62,6,422,SUCCESS,257654,Wy1FF-sDQYGNG0NQ9WF0ng,
In2Deep,1599577320708,3,85903,85027,257709,0.6666666666666666,0,2,2,2,423,SUCCESS,257709,oYPIuCqLRxGP-kXbGszG6g,
Archishman14,1600436437683,3,85944,79505,257834,4.333333333333333,0,13,13,1,424,SUCCESS,257834,0SYReRM_Qeix8UmYdd5rrg,
alber2kn,1600326581206,3,85973,82189,257919,2.0,0,6,6,1,425,SUCCESS,257919,j2fmHaHKRkyiQ9-zLO1Ujg,
ChrisRouffer,1601182988696,3,86015,85541,258047,0.0,0,0,0,24,426,SUCCESS,258047,QEG4QzeoT9GkGJZGNko7kA,
Maven,1599207338516,3,86050,79069,258150,20.0,0,60,60,3,427,SUCCESS,258150,s4B4AKYnSZWdYOMUcOiI0g,
RedAcer500,1600094527439,3,86127,83962,258381,15.333333333333334,0,46,46,1,428,SUCCESS,258381,yoX1xs0eR1KgKYFFejZ6_Q,
reinforced-racer,1600119747243,3,86239,83129,258718,24.666666666666668,0,73,74,1,429,SUCCESS,258718,85qZoBm2S_CUso2BOKrLaw,
Deep-Learning-championship,1601428803563,3,86442,84956,259328,14.666666666666666,0,44,44,4,430,SUCCESS,259328,vdZ3v40ySLmCqKkwt5ILMA,
Highlighter,1599620187858,3,86543,82021,259629,1.6666666666666667,0,5,5,1,431,SUCCESS,259629,5Q0qocrLQVWXKRv0lxWjnA,
rotiprata,1598962225568,3,86641,86376,259925,0.0,0,0,0,7,432,SUCCESS,259925,shCwAMfuQhGyrZ9ezbr6sA,
legend,1600272151358,3,86699,84943,260097,0.3333333333333333,0,1,1,3,433,SUCCESS,260097,K7-rIZmZSFejy-YgiRtJnA,
