Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
uhidkthisisatest,1602286639776,3,114914,107531,344742,4.0,0,12,12,6,947,SUCCESS,344742
eugenekamraceroct2020,1603167077943,3,114952,102398,344856,6.0,0,18,18,5,948,SUCCESS,344856
ACN-Model-Tim,1603760984677,3,114994,111278,344982,2.6666666666666665,0,8,8,1,949,SUCCESS,344982
FormulaAvocado,1602969024489,3,115007,110514,345023,5.333333333333333,0,16,16,2,950,SUCCESS,345023
TESLA,1603484718185,3,115009,101010,345027,4.666666666666667,0,14,14,2,951,SUCCESS,345027
RoboCalvin,1602875710624,3,115086,111806,345259,5.666666666666667,0,17,17,1,952,SUCCESS,345259
Spaark,1602065911804,3,115116,86206,345350,13.333333333333334,0,40,40,1,953,SUCCESS,345350
ghostRider,1603884407760,3,115183,104907,345551,8.0,0,24,24,3,954,SUCCESS,345551
AWSModel04,1603442346672,3,115214,107169,345642,4.666666666666667,0,13,14,2,955,SUCCESS,345642
Mash,1603207814225,3,115328,108602,345986,2.0,0,6,6,1,956,SUCCESS,345986
xiaoxdTest,1602114155097,3,115380,110365,346142,2.0,0,6,6,1,957,SUCCESS,346142
TuhiT1,1603665366400,3,115418,107060,346254,4.666666666666667,0,13,14,1,958,SUCCESS,346254
kutchmobile,1602278447241,3,115576,105647,346728,2.0,0,6,6,5,959,SUCCESS,346728
smritib,1603289395714,3,115598,108930,346796,3.6666666666666665,0,10,11,1,960,SUCCESS,346796
LU-Matt-TTM-v1,1602474749381,3,115804,106950,347414,12.333333333333334,0,37,37,3,961,SUCCESS,347414
Group85,1602060215765,3,115808,99606,347424,11.0,0,33,33,3,962,SUCCESS,347424
Juli032,1603378419185,3,115836,107309,347509,4.666666666666667,0,14,14,2,963,SUCCESS,347509
AG007,1603640333066,3,115965,111228,347896,4.333333333333333,0,13,13,18,964,SUCCESS,347896
AmosisTech-F1gt,1602803746614,3,116109,112462,348328,4.0,0,12,12,4,965,SUCCESS,348328
CrashingIt,1603048938147,3,116117,94438,348353,15.0,0,45,45,1,966,SUCCESS,348353
DavidGmz,1603177246227,3,116207,110211,348623,3.3333333333333335,0,10,10,1,967,SUCCESS,348623
yuanq,1602571090896,3,116234,100001,348704,16.0,0,48,48,8,968,SUCCESS,348704
BaadalSuperRacer20,1602154166609,3,116264,109071,348793,4.333333333333333,0,13,13,3,969,SUCCESS,348793
Breathless,1601529606606,3,116325,102737,348977,13.333333333333334,0,40,40,3,970,SUCCESS,348977
Nurul,1603714682083,3,116435,114357,349306,7.666666666666667,0,23,23,3,971,SUCCESS,349306
Janneman,1601538571203,3,116442,99393,349328,3.6666666666666665,0,11,11,3,972,SUCCESS,349328
SlowAnSteady,1603365490118,3,116546,101662,349640,6.666666666666667,0,20,20,1,973,SUCCESS,349640
Kabirdas-ForceOne,1602498044667,3,116599,107878,349797,5.0,0,15,15,5,974,SUCCESS,349797
reinventtruck,1602764959309,3,116865,109943,350596,6.0,0,18,18,1,975,SUCCESS,350596
pg,1602612276141,3,116954,111012,350863,2.3333333333333335,0,7,7,1,976,SUCCESS,350863
The-Race-Crafters,1602180581680,3,117019,105013,351058,14.0,0,42,42,7,977,SUCCESS,351058
Explorer-Cruz,1603446806600,3,117192,109536,351577,4.333333333333333,0,13,13,3,978,SUCCESS,351577
Group68,1603235083066,3,117312,107457,351938,5.666666666666667,0,17,17,12,979,SUCCESS,351938
avnishmishra,1603267431885,3,117313,99472,351939,4.666666666666667,0,14,14,4,980,SUCCESS,351939
Group28-Alonso,1603106941856,3,117419,105327,352259,6.0,0,18,18,1,981,SUCCESS,352259
rEVOlutions,1602791329254,3,117549,99942,352648,16.0,0,47,48,3,982,SUCCESS,352648
christopher-henschke,1603687631843,3,117559,113855,352677,5.0,0,15,15,1,983,SUCCESS,352677
HAsharma2020,1603360793931,3,117600,111737,352801,16.0,0,48,48,2,984,SUCCESS,352801
mymodel,1603868460731,3,117612,109032,352837,1.6666666666666667,0,5,5,2,985,SUCCESS,352837
Group32-Vamp2020ASHR,1603351630515,3,117784,107541,353353,15.0,0,45,45,1,986,SUCCESS,353353
AlexBoston,1604085595545,3,117894,111474,353684,5.666666666666667,0,17,17,4,987,SUCCESS,353684
meemeeling-DBS,1602564270105,3,118043,110405,354130,6.333333333333333,0,18,19,1,988,SUCCESS,354130
Ivar,1604167153560,3,118059,115253,354177,3.3333333333333335,0,10,10,1,989,SUCCESS,354177
Vikas-Model-1,1603543449168,3,118121,111723,354365,8.333333333333334,0,25,25,2,990,SUCCESS,354365
RacerTLH,1602604526324,3,118377,108335,355133,5.333333333333333,0,16,16,1,991,SUCCESS,355133
TridentRacer,1601636994064,3,118481,112728,355445,14.0,0,42,42,4,992,SUCCESS,355445
soumyadeep414135,1602728996056,3,118498,112042,355495,14.333333333333334,0,43,43,1,993,SUCCESS,355495
LoneRanger,1603994276834,3,118638,113743,355916,7.0,0,21,21,1,994,SUCCESS,355916
error,1602117899070,3,118639,106728,355918,14.333333333333334,0,43,43,6,995,SUCCESS,355918
Dushyantt-HorsePower,1603834856167,3,118674,108408,356024,2.0,0,6,6,2,996,SUCCESS,356024
noobDev,1601938477213,3,118711,108994,356133,3.6666666666666665,0,11,11,4,997,SUCCESS,356133
Group14,1601969963052,3,118812,113169,356438,6.333333333333333,0,19,19,1,998,SUCCESS,356438
Mattics-Run,1603395810149,3,118861,105519,356584,6.333333333333333,0,19,19,3,999,SUCCESS,356584
LyonRacing,1601695834851,3,118884,117656,356654,14.0,0,42,42,4,1000,SUCCESS,356654
Deepan,1603713197435,3,118940,104673,356821,5.0,0,15,15,3,1001,SUCCESS,356821
-00Arpit00-,1604084334554,3,118948,107730,356846,14.0,0,42,42,1,1002,SUCCESS,356846
kazuki,1602767836492,3,118951,110662,356854,2.0,0,6,6,2,1003,SUCCESS,356854
TWMyers,1603479018112,3,119162,113350,357488,5.0,0,15,15,1,1004,SUCCESS,357488
Shaun-159,1604077721721,3,119480,116502,358441,6.333333333333333,0,19,19,2,1005,SUCCESS,358441
1510-ds-hia-knight-riders,1602733192927,3,119518,118521,358554,7.666666666666667,0,23,23,3,1006,SUCCESS,358554
TheFabulousAbney,1603395127860,3,119991,101673,359974,6.0,0,18,18,1,1007,SUCCESS,359974
Group95MayurDRL1,1602131652355,3,120022,110668,360066,14.666666666666666,0,44,44,3,1008,SUCCESS,360066
Hyderabad-1-TDark,1603126408783,3,120209,116864,360629,16.666666666666668,0,50,50,133,1009,SUCCESS,360629
groupabc-test,1601967757232,3,120253,108671,360761,11.333333333333334,0,34,34,1,1010,SUCCESS,360761
DigiRacer,1603987223364,3,120278,113974,360836,4.0,0,12,12,1,1011,SUCCESS,360836
COO,1603359844207,3,120386,104058,361160,13.0,0,39,39,10,1012,SUCCESS,361160
RJKSDeepRacer,1603828126190,3,120618,115068,361855,13.0,0,39,39,2,1013,SUCCESS,361855
NJ-1-TeamELVN,1602744832665,3,120662,111071,361988,17.666666666666668,0,53,53,4,1014,SUCCESS,361988
Shanks-Acc,1603734887486,3,120725,109725,362175,2.3333333333333335,0,7,7,1,1015,SUCCESS,362175
Honeywellrajbharathioutlookcom,1603147949313,3,120747,103908,362241,15.0,0,45,45,2,1016,SUCCESS,362241
Racingmodel1123,1602244246691,3,120748,117718,362244,6.666666666666667,0,20,20,3,1017,SUCCESS,362244
Anthomas5,1603813753009,3,120837,101885,362511,2.0,0,6,6,3,1018,SUCCESS,362511
shubham,1603177482802,3,120845,109992,362537,14.0,0,42,42,1,1019,SUCCESS,362537
TonyKim,1601603060894,3,120944,112125,362832,2.6666666666666665,0,8,8,1,1020,SUCCESS,362832
gwqualifier1,1603242907556,3,120972,111004,362916,6.0,0,18,18,1,1021,SUCCESS,362916
Pheonix,1602480854482,3,121015,115836,363046,15.0,0,45,45,6,1022,SUCCESS,363046
CalcroftModel,1602345528143,3,121029,106594,363089,5.333333333333333,0,16,16,1,1023,SUCCESS,363089
Group45,1601969594442,3,121041,115866,363124,3.0,0,9,9,1,1024,SUCCESS,363124
MUCaelSchuhGRADer,1602770882836,3,121053,111805,363161,2.3333333333333335,0,7,7,2,1025,SUCCESS,363161
cyberpavan,1602987367364,3,121768,104733,365306,3.3333333333333335,0,10,10,2,1026,SUCCESS,365306
kyuseok,1602900407579,3,121944,114443,365833,8.333333333333334,0,25,25,2,1027,SUCCESS,365833
HeadOverWheels,1601910171752,3,121976,116454,365929,3.0,0,9,9,7,1028,SUCCESS,365929
AlexOUKS,1603745543274,3,122164,113599,366492,5.333333333333333,0,16,16,1,1029,SUCCESS,366492
100,1602142032829,3,122207,121234,366621,1.0,0,3,3,2,1030,SUCCESS,366621
DeepracerFirstModel,1603398188645,3,122315,112447,366947,1.6666666666666667,0,5,5,3,1031,SUCCESS,366947
Andrea,1602280844500,3,122384,118326,367152,4.333333333333333,0,13,13,1,1032,SUCCESS,367152
tig,1602557565783,3,122440,112947,367320,2.3333333333333335,0,7,7,3,1033,SUCCESS,367320
alex-molyneux,1601636609380,3,122715,103831,368145,4.666666666666667,0,14,14,2,1034,SUCCESS,368145
baneling-101,1602652356566,3,122750,118737,368252,15.666666666666666,0,47,47,1,1035,SUCCESS,368252
Pradeep,1603905087551,3,122914,115190,368742,1.3333333333333333,0,4,4,7,1036,SUCCESS,368742
juliannaharwood,1604077069519,3,123080,110402,369242,8.666666666666666,0,26,26,5,1037,SUCCESS,369242
