Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
CCteam,1603208460970,3,95906,79195,287718,4.666666666666667,0,14,14,3,624,SUCCESS,287718,rcUIuC8jQbO7Jv3tINJ0jw,
lucas-eval-lv5,1602099458573,3,96138,90149,288415,1.6666666666666667,0,5,5,13,625,SUCCESS,288415,xdNAxnNWTcyvSqy6a224AA,
anthony,1602568203327,3,96138,94746,288416,1.0,0,3,3,3,626,SUCCESS,288416,aJxSAXDBS5qiqDsga8UXvQ,
Demo-Sx1,1603753452134,3,96141,92466,288424,0.3333333333333333,0,1,1,2,627,SUCCESS,288424,oLXln36_QBOSvYVIyJtQRg,
AkkiKR,1603989652092,3,96180,84793,288542,6.0,0,18,18,2,628,SUCCESS,288542,GiqL_niwR6iM6OIw_6ZfYw,
JPMC-MUMBAI-001,1603357777831,3,96240,87871,288722,9.333333333333334,0,28,28,2,629,SUCCESS,288722,ZCj8B6bLQXe3PHdAV99vKw,
petr,1601856080237,3,96241,92730,288725,12.333333333333334,0,37,37,1,630,SUCCESS,288725,zbP61GhlShybso29SofsDw,
CrashingIt1,1603050234435,3,96374,94658,289123,1.3333333333333333,0,4,4,1,631,SUCCESS,289123,AsCxquXvTNqu4HDdOB9eng,
RunForrestRun2427,1603376586179,3,96389,90465,289167,3.0,0,9,9,1,632,SUCCESS,289167,q93DjQ5dT7ajMHJHKdANdw,
LeoAtAWS,1604030611647,3,96431,83443,289294,2.0,0,6,6,1,633,SUCCESS,289294,e26b549f3ca742e697be7w,
Group123,1602045186107,3,96471,88353,289414,6.666666666666667,0,20,20,4,634,SUCCESS,289414,BuVlJFTyTt2Ict0Pb1BsXw,
SourabhK,1603903827105,3,96503,83706,289510,2.6666666666666665,0,8,8,5,635,SUCCESS,289510,m3ypf44eSQGKBAAdWrZ6Sw,
Pranesh,1603457156929,3,96566,86419,289698,2.0,0,6,6,3,636,SUCCESS,289698,vVKDHQuLT5GpxzJp22p_pA,
corellian-corvette,1602772200433,3,96731,89934,290194,1.0,0,3,3,1,637,SUCCESS,290194,ZD7iPeUrSrKTelx7YpckSg,
KasztP,1602413313349,3,96746,82461,290238,7.0,0,21,21,3,638,SUCCESS,290238,B_NHhZzIT7yLboMZHKC3Qw,
TheOldTrackBoss,1603708608876,3,96754,91850,290263,11.333333333333334,0,34,34,8,639,SUCCESS,290263,hbVXmPNNTAGt_ndmy0JCtg,
NewSpeed,1603375781607,3,96831,82815,290495,10.666666666666666,0,32,32,1,640,SUCCESS,290495,O6ueG2wYT6aD1Cv_Lnf-7g,
Exp1,1601982477525,3,96855,84284,290567,1.6666666666666667,0,5,5,3,641,SUCCESS,290567,DOPZW_GkScKTQMN_tBJ03A,
Group104,1602148318436,3,96912,90596,290737,0.6666666666666666,0,2,2,18,642,SUCCESS,290737,YCC8TxE3ROizdkfitquBBw,
FastAndFurious1,1602720002865,3,97091,79147,291273,8.333333333333334,0,25,25,5,643,SUCCESS,291273,HMojcqnmS0SMfFFMPphtrg,
Group12,1601987941926,3,97128,96052,291385,0.0,0,0,0,18,644,SUCCESS,291385,4U3lYROQQSWCsxJ_44tkWQ,
lake,1601529204721,3,97164,92863,291493,0.6666666666666666,0,2,2,4,645,SUCCESS,291493,yQ3lzLoFSgqzSrAGRqkeGw,
Codingnik,1604035572116,3,97194,79840,291582,9.0,0,27,27,6,646,SUCCESS,291582,sVxqGvB5SX6lkPGDd7pr9w,
reZZEAK,1603718821004,3,97210,94606,291630,2.3333333333333335,0,7,7,1,647,SUCCESS,291630,7eQ9m4ypQvq9Oq_YGJJL-Q,
trailanderror,1602176955407,3,97293,86346,291879,11.0,0,33,33,36,648,SUCCESS,291879,Uu5ZHJuPQ1yV_TKumZ_IYA,
Group141,1601979789482,3,97335,95739,292007,7.333333333333333,0,22,22,34,649,SUCCESS,292007,NYVosqkFTSKp_d7SiQWwkw,
Group88-Nivethika,1603230771677,3,97348,83465,292045,10.333333333333334,0,31,31,7,650,SUCCESS,292045,usfSeQdbQiiyTYdv-sYbzg,
jjDeepRacer,1601981864195,3,97376,93251,292129,3.0,0,9,9,6,651,SUCCESS,292129,lghNlCRsTxeL4aD3tlcM2g,
sssddddfdsfds,1603327708917,3,97386,92027,292160,1.3333333333333333,0,4,4,1,652,SUCCESS,292160,0YLhHipQT6yjIk4YerGvpA,
TheNewFeature,1603329009476,3,97434,91405,292303,2.0,0,6,6,2,653,SUCCESS,292303,hw4n9tQLTDWrmT15aXU_cg,
2fast5you,1604174882290,3,97436,90559,292310,9.0,0,27,27,16,654,SUCCESS,292310,SX7zMlKNQI2i8HMwAtID6Q,
testtheone,1604164315268,3,97482,94543,292447,0.6666666666666666,0,2,2,2,655,SUCCESS,292447,kLZRy_FGTj6ufM5o35tBGg,
Ikechi,1602796628051,3,97531,89622,292594,9.0,0,27,27,9,656,SUCCESS,292594,68NoiOKgS6WmXWCobJnvRQ,
anna,1603569346633,3,97549,87430,292647,2.0,0,6,6,1,657,SUCCESS,292647,lAkJdlWoSJyw_GIQXoJlEA,
GG09,1601661012691,3,97564,94262,292692,0.3333333333333333,0,1,1,1,658,SUCCESS,292692,taPyguqhTICMo9JBfxn2DA,
Bezes,1602602170363,3,97695,93586,293087,0.6666666666666666,0,2,2,11,659,SUCCESS,293087,6fyXPzX3TuuKoSeth1n51w,
AutoPilot,1602346521151,3,97708,89145,293124,10.666666666666666,0,32,32,4,660,SUCCESS,293124,E6XblrZgSe6eVhCjqfIGfA,
neural-edge-racer,1602582490883,3,97724,81934,293173,3.3333333333333335,0,10,10,2,661,SUCCESS,293173,fzifDMuWTF66ErKN3kKwrw,
Group54,1601968800659,3,97797,88772,293392,1.3333333333333333,0,4,4,1,662,SUCCESS,293392,UQIOGGW6R1qTgVipLQCb_w,
Ramki,1603169245126,3,97811,91139,293434,2.6666666666666665,0,8,8,6,663,SUCCESS,293434,oENZZRTrTSGzyHSXX6Ixow,
jmkim,1602484180239,3,97981,93938,293944,0.6666666666666666,0,2,2,1,664,SUCCESS,293944,1yZUmcAsS16Qbx9FQ01GOw,
SpeedyToni,1602081532637,3,98049,95611,294147,1.6666666666666667,0,5,5,1,665,SUCCESS,294147,wNnLOVaMTT61-X1Gw-4EtQ,
henschke,1603690030282,3,98075,88816,294225,3.3333333333333335,0,10,10,2,666,SUCCESS,294225,0MHk8sOJSq6rXuoAWm1h6w,
Group70,1602166449966,3,98164,95670,294494,0.6666666666666666,0,2,2,13,667,SUCCESS,294494,gLYncXkGQ5KK0LAxdOODtA,
TubongSpeed,1603387183921,3,98167,88602,294501,3.0,0,9,9,1,668,SUCCESS,294501,2R7ssSdyQOiMwtOay-Z9OQ,
Firsttest,1603889134713,3,98211,90732,294634,1.6666666666666667,0,5,5,17,669,SUCCESS,294634,lT5AMY8gRRWIGbmgcyJUnA,
lathampark,1603850084219,3,98362,92665,295087,3.0,0,9,9,9,670,SUCCESS,295087,RXSCtggpTfOuZBIapcI_PQ,
Ankit-Pune-PDC2C,1604134615177,3,98438,92363,295314,0.3333333333333333,0,1,1,1,671,SUCCESS,295314,fozBvNWtRL2dfgPpyscVIQ,
hkg-cameron,1603957732158,3,98549,95684,295647,1.0,0,3,3,1,672,SUCCESS,295647,m-znmxXoT96MTFX5b9XmaQ,
VenkatLV-1,1602729715532,3,98621,95338,295865,1.6666666666666667,0,5,5,8,673,SUCCESS,295865,x7ihKA9XS6G5Nxlu7og_7g,
AutoBOT,1602844479066,3,98663,89719,295990,2.6666666666666665,0,8,8,1,674,SUCCESS,295990,AN9oV-1_SKeKI5ZuFpv5Fw,
Navicstar,1602942974401,3,98677,88117,296031,1.6666666666666667,0,5,5,4,675,SUCCESS,296031,d8U1kG3HQlK7B_DODS7Zqw,
lightning-mcqueen,1603288406322,3,98775,88985,296327,1.3333333333333333,0,4,4,2,676,SUCCESS,296327,Oa4T-lD4TFSA69GUDXheVw,
Chkim,1604035799476,3,98827,87782,296483,3.3333333333333335,0,10,10,5,677,SUCCESS,296483,bPKPRswaRgSd4I2m6vW3tQ,
JPMC-NYC-OrangePeels,1603195693961,3,98832,87472,296497,12.0,0,36,36,6,678,SUCCESS,296497,LHmnch7nR76PVsxm9dVaVA,
