Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
OneDudeDesign,1600674443611,3,41390,38017,124171,3.6666666666666665,3,8,11,3469,15,SUCCESS,124171,tLd0GWYiT0qzqq6YRFVXhg,
Penguin-DNPds,1599178706494,3,41540,35461,124622,2.0,6,0,6,2,16,SUCCESS,124622,Nr3YCYWGTA631Xqa0uDPhw,
Jsol-Nakase,1600818910776,3,42289,35513,126868,2.3333333333333335,1,6,7,79,17,SUCCESS,126868,-gkuzxvVSWSloofgFYL7Bg,
ABaykov,1601331489114,3,42351,42006,127055,1.0,3,0,3,52,18,SUCCESS,127055,aa28j7SWTd-LxMzvFoj_bA,
MattKreder,1600506564599,3,43142,35407,129426,2.0,4,2,6,293,19,SUCCESS,129426,cVk-aYKdRUmuL0qmjyzmag,
JPMC-HYD-CloudDragon,1600070044647,3,43315,37160,129947,3.0,9,0,9,9,20,SUCCESS,129947,LKdw_hyKTSu7moFuxbmiZw,JPMorgan Chase
Usin,1600240611997,3,43828,38343,131486,3.0,6,3,9,13,21,SUCCESS,131486,0U0AhasoQkySiJ1to8xBZw,
waka,1601503303179,3,45340,41278,136020,0.6666666666666666,2,0,2,60,22,SUCCESS,136020,z8j3mFBhTG2Rkaj90Z-xLA,
JonathanRacer,1601504873946,3,45634,34809,136902,3.0,7,2,9,18,23,SUCCESS,136902,nya9ln7uRZ6yFkb9tRzrOw,
Design4TeamNagakari,1600132800296,3,45749,41596,137247,0.6666666666666666,0,2,2,139,24,SUCCESS,137247,g_WxPih6RxKzB8Oq7hwUSQ,
mayurmadnani,1599630987146,3,45887,40189,137662,2.0,4,2,6,207,25,SUCCESS,137662,hr8K12KMRhSIDUEJbQT8fg,
tranvietdung-DBS,1598919246318,3,46107,43306,138321,2.3333333333333335,7,0,7,6,26,SUCCESS,138321,3OwVWi6tQDCpBzKpWfHj7Q,DBS
ZivHsu,1601053105075,3,46202,42864,138606,0.3333333333333333,1,0,1,309,27,SUCCESS,138606,Na5iYWG-SNmNOFGcUo9Pxw,
