Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
Wasabi-DevelopersIO,1592878221880,3,17962,15716,53888,0.6666666666666666,0,2,2,718,139,SUCCESS,53888
CaliSchwiizer,1591030348442,3,18000,16518,54000,0.6666666666666666,0,2,2,1,140,SUCCESS,54000
funny,1591190340603,3,18308,14978,54926,1.0,0,3,3,7,141,SUCCESS,54926
Adam,1592397015843,3,18310,16656,54932,0.3333333333333333,0,1,1,1,142,SUCCESS,54932
KRuhl,1592877108114,3,18329,15637,54988,1.0,0,3,3,2,143,SUCCESS,54988
IVaibhavMalpani,1591029680685,3,18380,18047,55142,1.0,0,3,3,1,144,SUCCESS,55142
FCU-Brent,1591191344095,3,18460,16095,55381,2.0,0,6,6,11,145,SUCCESS,55381
CyrusL,1592814521129,3,18645,15925,55937,1.0,0,3,3,1,146,SUCCESS,55937
foscarrrrr,1591070826650,3,18714,15951,56142,2.6666666666666665,0,8,8,1,147,SUCCESS,56142
FoscarSun,1590972089780,3,18759,16284,56277,2.6666666666666665,0,8,8,1,148,SUCCESS,56277
BarkRacing,1592542030758,3,18916,13833,56748,3.0,0,9,9,4,149,SUCCESS,56748
tc-test,1591882480069,3,18943,18656,56829,2.0,0,6,6,1,150,SUCCESS,56829
baka,1592381885191,3,19308,15089,57924,3.3333333333333335,0,10,10,6,151,SUCCESS,57924
LucaFurrer,1593347282848,3,19480,18943,58441,0.6666666666666666,0,2,2,4,152,SUCCESS,58441
KasztP,1592566254421,3,19489,17515,58469,0.3333333333333333,0,1,1,54,153,SUCCESS,58469
Red-Cow-Rally-Team,1592398724144,3,19575,19159,58727,0.0,0,0,0,3,154,SUCCESS,58727
Adam-H,1591911218189,3,19679,19394,59039,0.0,0,0,0,11,155,SUCCESS,59039
Volsax,1591691148998,3,19879,19811,59637,0.0,0,0,0,3,156,SUCCESS,59637
Fujii,1591089067961,3,20330,19068,60990,2.6666666666666665,0,8,8,1,157,SUCCESS,60990
AM730,1593524363726,3,20342,17474,61027,0.6666666666666666,0,2,2,7,158,SUCCESS,61027
mfxc-DENSO,1592816375768,3,20468,15226,61404,4.0,0,12,12,1,159,SUCCESS,61404
pdalvi,1591671562577,3,20609,19995,61828,0.0,0,0,0,1,160,SUCCESS,61828
IhaveNoIdeaWhatIAmDoingRacer,1590970792023,3,20857,19659,62573,3.0,0,9,9,1,161,SUCCESS,62573
Dallas-2-SunRisRs,1591241038890,3,20899,20699,62697,2.0,0,6,6,1,162,SUCCESS,62697
JustPureVelocity,1592678719115,3,21208,20630,63624,0.0,0,0,0,1,163,SUCCESS,63624
SK-DENSO,1592362682984,3,21223,18525,63669,2.0,0,6,6,3,164,SUCCESS,63669
SebVast,1592415773619,3,21493,20638,64479,4.0,0,12,12,11,165,SUCCESS,64479
RuudRacer,1592568997397,3,21512,18532,64538,2.3333333333333335,0,7,7,3,166,SUCCESS,64538
twisperIO,1591976372270,3,21611,19943,64835,2.3333333333333335,0,7,7,2,167,SUCCESS,64835
Dallas-1-AceRacRs,1593533154800,3,21922,21477,65767,2.0,0,6,6,2,168,SUCCESS,65767
SSR-DBS,1592497117211,3,22228,20650,66684,0.6666666666666666,0,2,2,1,169,SUCCESS,66684
exterior-muzzle,1591218129513,3,22309,20381,66928,2.6666666666666665,0,8,8,5,170,SUCCESS,66928
josujean,1592056493435,3,22760,16344,68280,1.6666666666666667,0,5,5,1,171,SUCCESS,68280
hkdmadeepracer,1591111752721,3,22797,21952,68393,3.3333333333333335,0,10,10,1,172,SUCCESS,68393
DiverCar,1592042372727,3,23040,19078,69121,2.3333333333333335,0,7,7,1,173,SUCCESS,69121
jdobyns,1591895811501,3,23293,20203,69880,1.6666666666666667,0,5,5,1,174,SUCCESS,69880
ashim-afifah46,1590970354851,3,23297,22176,69891,0.6666666666666666,0,2,2,3,175,SUCCESS,69891
HKC2EBasic,1591717062059,3,23310,22707,69931,2.0,0,6,6,2,176,SUCCESS,69931
DragonCrew-DBS,1592139227259,3,23944,22153,71834,3.6666666666666665,0,11,11,1,177,SUCCESS,71834
lucy01,1592490386653,3,24127,21736,72383,0.6666666666666666,0,2,2,1,178,SUCCESS,72383
Momotaro-DevelopersIO,1591333785837,3,24791,19682,74374,4.666666666666667,0,14,14,1,179,SUCCESS,74374
PrimeWheels,1593553463376,3,25148,23525,75445,6.0,0,18,18,5,180,SUCCESS,75445
masaminh,1592053111415,3,25195,21063,75587,2.3333333333333335,0,7,7,1,181,SUCCESS,75587
BenoitSauvere-Airbus,1592649112913,3,25360,25024,76080,2.0,0,6,6,3,182,SUCCESS,76080
RegentBear,1592380001275,3,25542,22962,76628,0.6666666666666666,0,2,2,3,183,SUCCESS,76628
HarshalM,1591230153304,3,25840,24668,77520,2.0,0,6,6,3,184,SUCCESS,77520
runniungman84-racer,1592231222714,3,26088,19982,78265,5.333333333333333,0,16,16,1,185,SUCCESS,78265
D-Racer,1593297817504,3,26211,22274,78633,3.6666666666666665,0,11,11,1,186,SUCCESS,78633
Ace,1591916468107,3,26264,22200,78793,4.333333333333333,0,13,13,1,187,SUCCESS,78793
GT-Racing,1591290416948,3,26314,22433,78942,5.333333333333333,0,16,16,6,188,SUCCESS,78942
andijakl,1592387183044,3,27244,25309,81732,0.3333333333333333,0,1,1,1,189,SUCCESS,81732
NateD,1593537250290,3,27279,25367,81837,3.0,0,9,9,3,190,SUCCESS,81837
mellowmonk,1592957530085,3,27288,24803,81864,3.6666666666666665,0,11,11,1,191,SUCCESS,81864
HongKongSandbox001,1591350910095,3,27594,25349,82783,6.0,0,18,18,2,192,SUCCESS,82783
ThatChocolateGuy,1590976173133,3,27635,26743,82906,2.0,0,6,6,2,193,SUCCESS,82906
WillTonnMonsterTruck,1591194765205,3,28116,27231,84350,7.333333333333333,0,22,22,2,194,SUCCESS,84350
CHADMASTER,1590981126400,3,28547,27972,85643,0.0,0,0,0,1,195,SUCCESS,85643
Eternal-Flame,1591909434522,3,28595,28069,85786,0.0,0,0,0,1,196,SUCCESS,85786
SMYKsMagicBullet,1592477066573,3,29543,26947,88630,0.6666666666666666,0,2,2,1,197,SUCCESS,88630
Rakesh-Arumalla,1591767253372,3,29601,28569,88804,0.0,0,0,0,1,198,SUCCESS,88804
yak5730,1592905848888,3,29637,29170,88911,0.3333333333333333,0,1,1,19,199,SUCCESS,88911
Pumpkin42,1593339300345,3,29725,27406,89175,0.3333333333333333,0,1,1,1,200,SUCCESS,89175
Prasanjit-Singh,1592979758956,3,29845,29487,89536,0.0,0,0,0,10,201,SUCCESS,89536
ColtFour-YvasvnMana,1591005054705,3,29882,27787,89646,0.6666666666666666,0,2,2,1,202,SUCCESS,89646
BoltzSpeed,1592065571380,3,30543,30140,91629,0.0,0,0,0,1,203,SUCCESS,91629
IceManNCSU,1593534372282,3,30738,25526,92216,8.666666666666666,0,26,26,4,204,SUCCESS,92216
HyeminBMCC,1592346599840,3,31142,26791,93428,4.0,0,12,12,2,205,SUCCESS,93428
Subhajeet-DBS,1592197785481,3,31305,29784,93915,1.3333333333333333,0,4,4,1,206,SUCCESS,93915
Nihal,1592400045184,3,32304,31468,96913,0.3333333333333333,0,1,1,2,207,SUCCESS,96913
bubula,1593534344973,3,32882,30110,98646,8.666666666666666,0,26,26,2,208,SUCCESS,98646
aapjeisbaas,1592396069635,3,32909,31667,98729,0.3333333333333333,0,1,1,1,209,SUCCESS,98729
YMZK-DENSO,1592815366144,3,33154,28410,99462,9.0,0,26,27,2,210,SUCCESS,99462
Levente,1593121384295,3,33497,33004,100492,0.0,0,0,0,4,211,SUCCESS,100492
CyrilCambien,1592395056305,3,33539,33013,100617,0.0,0,0,0,1,212,SUCCESS,100617
AlanSharp,1592580152554,3,34205,32500,102616,0.3333333333333333,0,1,1,3,213,SUCCESS,102616
HongKongers,1592150906289,3,34584,34013,103753,0.0,0,0,0,2,214,SUCCESS,103753
hoangpham,1592400344534,3,34849,32572,104547,0.0,0,0,0,4,215,SUCCESS,104547
ttt,1591632495428,3,35093,34371,105280,0.3333333333333333,0,1,1,7,216,SUCCESS,105280
KSquared,1592475054457,3,35252,34218,105758,0.0,0,0,0,5,217,SUCCESS,105758
Glasgow-1-LepStrt,1591808821226,3,36152,34382,108456,1.0,0,3,3,1,218,SUCCESS,108456
100,1591120525105,3,36339,35903,109017,0.0,0,0,0,1,219,SUCCESS,109017
CMaxwell,1592381699269,3,36841,34924,110524,0.0,0,0,0,2,220,SUCCESS,110524
pgrantuk,1592228420881,3,37361,30102,112083,11.0,0,33,33,1,221,SUCCESS,112083
DefaultModelTesting,1592586992051,3,37523,35429,112571,0.0,0,0,0,2,222,SUCCESS,112571
tcc,1592427139189,3,37584,36017,112754,0.0,0,0,0,2,223,SUCCESS,112754
bobyeh,1592644966169,3,38679,37586,116039,0.6666666666666666,0,2,2,1,224,SUCCESS,116039
Roger-NCTU-CGI,1591340030739,3,38800,35307,116402,11.0,0,33,33,5,225,SUCCESS,116402
BBVA-Next-Guillermo-Fernandez,1592149600432,3,39094,36875,117284,1.0,0,3,3,1,226,SUCCESS,117284
JiMBo007,1592395792907,3,39738,37698,119216,0.6666666666666666,0,2,2,1,227,SUCCESS,119216
ash4008,1591472081693,3,39930,38755,119790,0.6666666666666666,0,2,2,1,228,SUCCESS,119790
sk2020,1592774080560,3,39996,38270,119990,1.0,0,3,3,1,229,SUCCESS,119990
HitTheCloudRunning,1593010983256,3,40015,39339,120045,0.0,0,0,0,1,230,SUCCESS,120045
NgDinhNha,1591066557067,3,40651,38285,121954,1.0,0,3,3,2,231,SUCCESS,121954
Gourisankar-DBS,1593489492865,3,40767,37429,122303,0.6666666666666666,0,2,2,1,232,SUCCESS,122303
SYRacer01,1593428075028,3,40885,39938,122657,0.0,0,0,0,1,233,SUCCESS,122657
IP,1592337521191,3,41183,39697,123550,0.0,0,0,0,1,234,SUCCESS,123550
agent420,1593325835726,3,41244,39860,123732,0.3333333333333333,0,1,1,1,235,SUCCESS,123732
LuckyMan,1591004072253,3,42400,40555,127201,1.0,0,3,3,1,236,SUCCESS,127201
MonsterTruck,1592409106682,3,43620,41804,130861,1.6666666666666667,0,5,5,4,237,SUCCESS,130861
zer0,1592447021200,3,43816,41363,131449,0.6666666666666666,0,2,2,1,238,SUCCESS,131449
Rookie-vanguard,1593273577322,3,44905,43161,134716,0.0,0,0,0,3,239,SUCCESS,134716
DrWatson,1592334174051,3,49462,46672,148386,0.6666666666666666,0,2,2,1,240,SUCCESS,148386
TankSTR,1591132739399,3,49771,47487,149315,5.333333333333333,0,16,16,1,241,SUCCESS,149315
Partha,1591488183524,3,75877,74035,227633,0.0,0,0,0,1,242,SUCCESS,227633
Shrimangal,1593555235191,3,81078,79293,243236,1.6666666666666667,0,5,5,1,243,SUCCESS,243236
Tim-Unbox,1591584338961,3,83130,82664,249392,0.0,0,0,0,1,244,SUCCESS,249392
JonR2,1592880532913,3,83474,82354,250423,0.0,0,0,0,1,245,SUCCESS,250423
Nelis,1592382398846,3,83596,82897,250789,0.0,0,0,0,1,246,SUCCESS,250789
XH-DBS,1592381531272,3,86464,81280,259393,2.0,0,6,6,1,247,SUCCESS,259393
George,1592430525740,3,86835,82688,260506,1.0,0,3,3,1,248,SUCCESS,260506
